person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
31,75354,OTHER,5.1,PERSONAL,B,32791,22.45,0.08,N,14,0
64,93543,OWN,2.7,HOMEIMPROVEMENT,D,22317,6.96,0.17,N,7,0
21,33157,OTHER,0.2,DEBTCONSOLIDATION,D,11932,5.48,0.03,N,21,0
46,112693,OTHER,3.5,HOMEIMPROVEMENT,E,19451,17.38,0.06,N,7,1
50,50315,MORTGAGE,0.2,EDUCATION,D,8630,16.34,0.25,N,2,0
55,50932,OTHER,3.7,HOMEIMPROVEMENT,B,23636,18.53,0.08,N,16,1
55,36164,OWN,6.4,VENTURE,B,3059,18.42,0.67,N,7,0
45,29414,OTHER,3.5,VENTURE,D,15244,20.77,0.04,N,28,1
62,29327,MORTGAGE,23.3,DEBTCONSOLIDATION,B,31655,21.81,0.75,N,16,0
46,15946,RENT,2.4,PERSONAL,A,21521,19.2,0.72,N,16,0
24,29693,OWN,5.5,VENTURE,C,17496,9.53,0.17,Y,15,0
39,42241,OWN,4.4,HOMEIMPROVEMENT,A,13687,13.65,0.06,Y,11,0
30,110790,MORTGAGE,19.0,HOMEIMPROVEMENT,C,18506,16.82,0.09,N,28,0
29,30540,MORTGAGE,5.0,DEBTCONSOLIDATION,B,16875,15.0,0.46,N,9,0
59,87255,MORTGAGE,0.7,HOMEIMPROVEMENT,B,30658,8.23,0.5,N,5,0
57,79757,MORTGAGE,12.5,MEDICAL,F,3569,15.89,0.26,N,26,1
25,56203,OWN,4.4,DEBTCONSOLIDATION,D,6986,21.18,0.25,N,23,0
27,40081,RENT,0.2,DEBTCONSOLIDATION,D,18139,12.85,0.44,N,7,1
42,76861,OTHER,4.3,VENTURE,C,29300,17.31,0.25,Y,21,0
45,26350,OTHER,8.6,DEBTCONSOLIDATION,D,26118,16.36,0.78,N,25,0
62,70512,RENT,3.4,EDUCATION,D,12369,12.11,0.32,N,22,0
31,71809,RENT,1.7,VENTURE,C,4676,15.46,0.18,N,29,0
45,116894,RENT,6.9,VENTURE,F,26980,9.14,0.12,N,18,0
32,112557,MORTGAGE,6.1,MEDICAL,A,32000,15.12,0.52,N,24,0
59,57832,OWN,3.1,VENTURE,F,5737,19.62,0.27,N,25,0
37,43369,OWN,,PERSONAL,B,26953,18.91,0.16,N,23,0
44,46728,OWN,1.2,HOMEIMPROVEMENT,C,1290,11.77,0.23,N,8,0
52,32576,MORTGAGE,5.4,HOMEIMPROVEMENT,A,15254,7.4,0.26,N,13,0
59,44001,OWN,6.6,DEBTCONSOLIDATION,C,13567,19.64,0.52,N,24,0
62,98384,MORTGAGE,1.3,MEDICAL,C,17109,10.12,0.14,N,5,0
31,15390,OWN,1.8,HOMEIMPROVEMENT,G,28481,6.34,0.61,N,15,1
63,102535,RENT,0.3,PERSONAL,F,20063,13.32,0.25,Y,5,1
55,60436,OTHER,5.0,MEDICAL,F,9503,18.56,0.41,N,17,0
23,26569,OTHER,0.0,EDUCATION,B,27568,19.79,0.54,N,29,1
24,28029,MORTGAGE,0.2,HOMEIMPROVEMENT,G,4723,22.88,0.45,N,2,1
56,37490,OWN,0.0,VENTURE,B,24404,8.77,0.55,Y,19,1
27,60875,OTHER,4.1,PERSONAL,E,21246,10.63,0.27,N,20,0
61,115864,RENT,2.2,PERSONAL,A,31904,16.25,0.8,N,22,0
47,20867,RENT,1.4,HOMEIMPROVEMENT,C,21907,19.84,0.38,N,11,0
50,95820,RENT,9.8,DEBTCONSOLIDATION,F,21193,9.57,0.27,N,26,0
28,114515,MORTGAGE,0.9,EDUCATION,F,33514,12.7,0.25,N,6,0
48,24121,MORTGAGE,2.0,VENTURE,C,22621,12.67,0.04,N,14,0
33,16539,OWN,11.3,EDUCATION,D,26903,19.16,0.57,N,7,1
59,106024,RENT,2.2,EDUCATION,A,12137,9.69,0.22,N,24,0
60,32027,OWN,3.2,HOMEIMPROVEMENT,D,9112,22.64,0.8,N,5,0
41,89229,OWN,0.3,VENTURE,C,30910,14.49,0.17,N,17,0
30,23921,RENT,6.2,HOMEIMPROVEMENT,A,5660,10.42,0.44,N,9,0
42,65435,OWN,2.2,HOMEIMPROVEMENT,A,34639,10.46,0.61,N,17,0
20,25310,OTHER,6.4,DEBTCONSOLIDATION,A,8228,5.73,0.72,N,12,0
56,78965,MORTGAGE,1.2,PERSONAL,D,4738,17.73,0.13,N,23,0
40,111444,OWN,2.2,DEBTCONSOLIDATION,A,27264,19.21,0.82,N,28,0
45,84922,RENT,6.2,DEBTCONSOLIDATION,B,18964,5.98,0.75,Y,2,0
55,112799,MORTGAGE,,HOMEIMPROVEMENT,B,32443,15.83,0.8,N,23,0
42,108948,MORTGAGE,0.2,DEBTCONSOLIDATION,C,31338,19.31,0.71,N,19,0
20,97839,OWN,6.7,DEBTCONSOLIDATION,D,6419,12.1,0.73,Y,5,0
59,27242,OTHER,1.4,MEDICAL,C,8297,13.1,0.5,N,12,0
34,23947,OWN,3.2,VENTURE,C,22967,11.84,0.7,N,21,0
40,86466,OTHER,1.4,PERSONAL,B,24236,11.02,0.44,Y,11,0
28,118706,MORTGAGE,3.8,VENTURE,B,9521,14.14,0.45,N,17,0
28,76816,OWN,1.7,PERSONAL,E,3558,8.36,0.47,N,11,0
29,63785,RENT,1.6,MEDICAL,B,9541,13.24,0.83,Y,6,1
45,15507,OWN,0.2,HOMEIMPROVEMENT,B,1653,22.16,0.09,N,27,0
60,81972,OTHER,0.6,PERSONAL,D,12521,5.89,0.67,N,29,1
54,42151,OTHER,10.0,PERSONAL,B,27758,8.33,0.23,N,19,0
44,26618,OWN,25.5,PERSONAL,D,19859,,0.3,N,23,0
45,89286,OTHER,6.1,MEDICAL,B,26678,7.75,0.07,N,12,0
30,31122,MORTGAGE,1.4,VENTURE,D,13414,10.23,0.29,N,4,1
57,22354,OWN,2.1,MEDICAL,A,8036,13.5,0.82,Y,10,0
21,45979,OTHER,5.4,PERSONAL,B,34248,22.19,0.33,N,16,0
26,101436,OWN,13.8,DEBTCONSOLIDATION,B,10986,8.67,0.56,N,23,0
37,94376,OWN,2.4,PERSONAL,D,2884,21.83,0.1,N,20,0
46,67774,RENT,7.1,DEBTCONSOLIDATION,F,11287,18.19,0.77,N,20,1
53,117703,OWN,14.8,HOMEIMPROVEMENT,B,34634,17.35,0.69,N,6,0
46,20037,RENT,8.3,MEDICAL,D,18146,18.28,0.32,N,7,0
36,43633,OTHER,1.0,DEBTCONSOLIDATION,C,6687,5.96,0.29,Y,5,0
62,39495,RENT,0.0,MEDICAL,F,8995,7.16,0.36,N,13,0
63,79550,RENT,2.7,EDUCATION,D,10385,11.36,0.33,N,6,0
43,96384,RENT,3.0,VENTURE,A,19200,6.72,0.21,N,4,0
44,51483,MORTGAGE,0.9,EDUCATION,D,15518,22.98,0.82,N,11,0
26,88373,RENT,1.3,DEBTCONSOLIDATION,C,30928,15.73,0.67,N,14,1
25,49069,OWN,5.8,EDUCATION,A,29571,14.07,0.22,N,5,0
43,22370,RENT,2.5,VENTURE,B,31822,19.38,0.81,Y,25,1
52,86947,OWN,1.5,DEBTCONSOLIDATION,E,7614,22.79,0.01,N,9,0
48,54133,RENT,3.9,HOMEIMPROVEMENT,E,7074,22.4,0.36,N,2,0
62,111035,MORTGAGE,4.2,HOMEIMPROVEMENT,D,25496,19.52,0.47,N,21,0
41,110761,OTHER,5.9,VENTURE,G,27254,12.11,0.03,N,3,1
45,15692,RENT,,VENTURE,D,4309,6.57,0.13,Y,5,0
47,43926,RENT,5.4,DEBTCONSOLIDATION,A,18050,7.15,0.21,Y,22,0
40,114782,MORTGAGE,3.7,MEDICAL,B,29749,5.42,0.6,N,2,0
26,119700,RENT,0.2,DEBTCONSOLIDATION,A,21913,5.43,0.78,N,29,1
36,88984,OWN,6.0,MEDICAL,A,5187,,0.52,N,22,0
39,58390,RENT,1.9,MEDICAL,A,21623,21.9,0.47,N,8,0
60,64593,RENT,1.6,MEDICAL,C,33595,17.28,0.45,Y,6,1
39,90609,OTHER,2.4,DEBTCONSOLIDATION,D,27935,18.33,0.29,N,24,0
41,115950,OTHER,1.7,PERSONAL,E,22122,14.54,0.69,N,14,1
47,20209,RENT,1.7,PERSONAL,C,10785,9.63,0.45,N,26,0
59,21533,MORTGAGE,6.6,HOMEIMPROVEMENT,E,25427,21.68,0.19,Y,14,0
26,101597,OTHER,0.5,PERSONAL,C,5791,10.34,0.11,N,9,0
20,22211,RENT,14.1,PERSONAL,E,3622,18.57,0.82,N,18,0
51,24927,OTHER,3.2,MEDICAL,B,5376,9.77,0.01,Y,11,1
32,92463,RENT,0.8,MEDICAL,B,19612,20.89,0.77,N,11,0
49,39594,OTHER,0.6,VENTURE,E,9624,16.99,0.18,N,3,0
42,89852,OTHER,3.6,MEDICAL,B,2323,16.84,0.55,N,7,0
38,92713,OWN,4.0,DEBTCONSOLIDATION,C,10887,7.13,0.25,N,22,0
51,91382,RENT,0.2,VENTURE,B,34744,12.87,0.71,N,2,0
49,22933,RENT,1.1,VENTURE,C,19480,14.74,0.45,N,19,0
48,118780,RENT,6.3,PERSONAL,G,24724,10.63,0.12,N,4,0
64,55696,RENT,0.2,MEDICAL,A,7621,21.08,0.22,N,27,0
48,80449,OTHER,7.7,PERSONAL,E,2930,20.31,0.27,N,22,0
49,82616,OWN,4.3,MEDICAL,A,8454,14.19,0.74,N,8,0
35,21089,OWN,2.3,PERSONAL,B,12381,11.45,0.64,N,17,0
59,71548,MORTGAGE,1.7,PERSONAL,A,17417,19.67,0.69,Y,23,0
38,41123,RENT,0.1,PERSONAL,D,18140,8.9,0.04,N,4,0
37,22797,MORTGAGE,7.0,DEBTCONSOLIDATION,A,12585,6.67,0.48,Y,7,0
20,65013,OTHER,0.6,HOMEIMPROVEMENT,C,26759,6.21,0.83,N,5,0
33,23346,MORTGAGE,1.5,PERSONAL,B,23597,6.09,0.65,N,17,0
21,100414,RENT,3.4,EDUCATION,A,3478,14.1,0.1,N,4,0
47,48672,OWN,1.1,EDUCATION,D,4832,9.94,0.56,N,5,0
49,32653,OWN,2.7,EDUCATION,A,20537,17.69,0.62,N,12,0
57,64556,RENT,6.6,DEBTCONSOLIDATION,A,15589,17.04,0.43,Y,25,0
23,41140,OTHER,2.5,VENTURE,B,23984,15.05,0.07,N,18,0
20,16184,RENT,11.9,PERSONAL,C,14508,11.68,0.03,N,20,0
27,49493,OTHER,7.5,EDUCATION,C,18648,20.54,0.78,N,27,0
48,59148,OWN,1.6,DEBTCONSOLIDATION,A,4330,18.03,0.21,N,29,0
58,39846,OTHER,2.0,VENTURE,A,3458,10.23,0.31,N,9,0
22,37195,RENT,2.2,EDUCATION,B,26498,14.33,0.66,N,29,0
51,20606,RENT,,MEDICAL,B,2040,8.18,0.57,N,15,0
29,18956,RENT,1.4,HOMEIMPROVEMENT,E,31177,11.25,0.8,Y,27,0
29,31555,OTHER,13.9,PERSONAL,D,29601,23.15,0.08,N,17,0
38,105385,OTHER,3.8,HOMEIMPROVEMENT,C,7553,9.38,0.59,N,26,0
53,33690,OTHER,2.0,HOMEIMPROVEMENT,B,6170,17.83,0.07,N,20,0
52,73502,OWN,4.1,MEDICAL,D,10781,9.64,0.0,N,17,0
42,63849,MORTGAGE,2.0,MEDICAL,D,18622,22.1,0.1,N,26,0
47,41347,MORTGAGE,6.8,MEDICAL,C,3033,10.92,0.51,N,11,0
51,113725,RENT,3.4,VENTURE,D,11256,11.57,0.56,N,16,0
26,118844,OWN,0.2,EDUCATION,D,25574,,0.36,N,28,0
48,106321,OTHER,0.8,PERSONAL,C,19302,15.87,0.04,N,27,0
27,64056,RENT,,MEDICAL,B,27822,15.71,0.53,Y,5,1
20,78851,OWN,3.3,DEBTCONSOLIDATION,D,17548,15.6,0.07,N,29,1
22,113234,RENT,12.0,PERSONAL,A,10376,10.96,0.12,N,5,1
43,96502,OWN,0.3,PERSONAL,D,15671,13.13,0.43,N,14,0
42,111633,OWN,,PERSONAL,D,5666,15.96,0.28,N,13,0
27,96418,MORTGAGE,0.9,MEDICAL,D,10866,17.35,0.39,N,16,0
56,85211,RENT,3.2,MEDICAL,B,20758,9.91,0.53,Y,24,0
22,56850,OTHER,1.9,EDUCATION,A,13483,17.89,0.13,N,14,0
52,93545,MORTGAGE,0.7,MEDICAL,A,26215,21.83,0.74,N,7,0
47,42843,MORTGAGE,4.1,MEDICAL,D,31585,18.89,0.46,N,27,0
27,77320,OTHER,3.1,PERSONAL,E,28278,6.9,0.02,N,15,0
53,44793,OWN,1.3,EDUCATION,C,11890,,0.52,N,4,0
54,54516,OTHER,2.6,HOMEIMPROVEMENT,A,21424,13.15,0.38,N,9,0
51,119407,RENT,5.5,MEDICAL,F,1207,11.39,0.58,N,13,0
43,32857,OTHER,0.9,DEBTCONSOLIDATION,G,25548,14.15,0.65,N,15,0
33,34627,OWN,1.4,MEDICAL,B,33315,13.23,0.78,N,6,0
51,76822,OTHER,1.7,HOMEIMPROVEMENT,C,17989,5.51,0.83,N,3,0
62,99101,OWN,5.5,PERSONAL,D,17451,9.61,0.46,Y,11,1
35,106561,OWN,7.5,EDUCATION,D,11952,9.21,0.47,N,4,0
23,67248,RENT,1.9,PERSONAL,F,29135,11.62,0.02,N,24,0
56,70798,OTHER,1.4,VENTURE,A,33247,8.51,0.72,N,11,0
40,108368,OTHER,8.8,MEDICAL,C,34296,6.61,0.02,N,10,1
33,59116,RENT,29.4,DEBTCONSOLIDATION,C,28433,8.9,0.53,N,18,0
50,90318,OWN,4.4,VENTURE,E,21687,20.6,0.08,N,29,0
37,119186,OTHER,18.4,MEDICAL,E,23453,19.59,0.24,N,7,0
26,102902,RENT,4.3,VENTURE,F,34318,13.27,0.12,N,28,1
29,43557,OWN,5.3,HOMEIMPROVEMENT,C,25202,21.03,0.11,Y,10,1
26,86334,RENT,2.0,MEDICAL,D,6778,9.54,0.06,N,24,0
52,90163,OTHER,2.3,DEBTCONSOLIDATION,B,18536,15.8,0.26,N,4,0
42,93002,RENT,,MEDICAL,B,25083,7.94,0.35,N,8,0
40,57614,MORTGAGE,6.9,VENTURE,B,5208,20.23,0.39,N,13,0
38,27720,OWN,10.7,EDUCATION,D,9976,7.72,0.36,Y,19,0
38,72608,MORTGAGE,3.9,VENTURE,G,5818,5.97,0.43,N,11,1
55,117828,MORTGAGE,1.7,MEDICAL,B,29769,10.27,0.71,Y,3,1
48,87095,OWN,0.7,MEDICAL,A,25254,21.44,0.52,N,18,1
37,99694,OWN,1.2,EDUCATION,D,20479,7.7,0.01,N,4,0
21,111452,RENT,1.2,PERSONAL,C,5410,11.29,0.14,Y,2,0
20,102593,OWN,3.8,EDUCATION,F,4953,11.03,0.29,Y,9,1
24,50892,MORTGAGE,11.6,PERSONAL,B,21681,,0.79,Y,14,0
39,92242,MORTGAGE,0.2,DEBTCONSOLIDATION,A,23865,12.9,0.06,N,12,0
30,92606,OTHER,0.0,MEDICAL,B,26826,16.29,0.59,N,9,0
61,15924,OWN,3.7,HOMEIMPROVEMENT,A,4677,12.6,0.03,Y,21,0
21,66322,MORTGAGE,1.3,HOMEIMPROVEMENT,B,3929,15.22,0.3,N,2,0
22,41478,OTHER,8.5,VENTURE,A,33452,6.51,0.64,N,3,0
42,86042,OTHER,1.6,EDUCATION,A,5478,12.06,0.29,N,19,0
31,61418,RENT,1.4,EDUCATION,A,14273,20.62,0.36,N,19,0
39,77217,MORTGAGE,1.3,HOMEIMPROVEMENT,F,6674,17.7,0.75,N,10,0
24,115699,RENT,0.6,PERSONAL,B,22296,22.88,0.05,N,8,0
56,105140,MORTGAGE,3.5,EDUCATION,B,12377,19.42,0.44,N,10,0
57,95846,RENT,0.7,PERSONAL,E,18222,13.44,0.3,Y,11,0
49,88762,RENT,2.2,PERSONAL,C,23055,17.44,0.8,N,27,0
28,26781,OWN,2.5,PERSONAL,C,14062,19.21,0.66,N,3,0
53,20515,RENT,0.1,PERSONAL,D,7046,10.2,0.1,N,6,0
63,51133,OWN,0.1,VENTURE,D,25758,6.47,0.77,N,18,0
54,97508,OTHER,2.9,VENTURE,E,12206,12.62,0.18,N,3,0
41,112628,MORTGAGE,4.8,HOMEIMPROVEMENT,C,29443,7.98,0.07,N,21,0
63,91946,OTHER,11.4,VENTURE,E,22815,10.33,0.45,N,11,0
43,100058,MORTGAGE,0.8,DEBTCONSOLIDATION,C,10852,22.25,0.61,N,2,0
36,24095,OTHER,0.4,EDUCATION,B,34997,20.48,0.59,N,13,0
29,103583,MORTGAGE,0.2,DEBTCONSOLIDATION,E,10109,15.95,0.44,N,25,0
49,35470,RENT,2.3,VENTURE,C,33286,12.54,0.41,N,16,0
42,58129,MORTGAGE,3.9,EDUCATION,E,27728,10.11,0.8,N,7,0
51,23531,MORTGAGE,,EDUCATION,A,9382,15.57,0.68,Y,15,1
36,52038,OTHER,4.6,PERSONAL,B,16768,14.89,0.58,N,15,0
36,102939,OTHER,0.9,HOMEIMPROVEMENT,F,5810,19.3,0.16,N,16,0
33,57674,OTHER,2.5,PERSONAL,A,24963,21.92,0.68,N,2,0
28,109658,OWN,9.6,PERSONAL,F,11753,11.26,0.62,N,26,0
59,97476,OWN,1.6,DEBTCONSOLIDATION,F,20904,9.07,0.82,N,18,0
21,44831,MORTGAGE,2.8,VENTURE,E,10327,12.57,0.11,N,12,0
64,72174,MORTGAGE,12.7,DEBTCONSOLIDATION,C,11438,13.19,0.59,Y,16,0
44,26279,RENT,5.3,VENTURE,C,33562,6.11,0.81,N,21,0
58,53220,RENT,5.5,DEBTCONSOLIDATION,E,25654,20.74,0.38,Y,17,0
28,75610,MORTGAGE,1.2,EDUCATION,D,7740,23.12,0.61,N,22,0
41,67719,OWN,,VENTURE,C,2085,21.83,0.81,N,28,1
62,68051,MORTGAGE,0.3,VENTURE,G,11041,20.72,0.45,N,10,0
23,87013,RENT,3.7,DEBTCONSOLIDATION,C,5927,23.07,0.58,N,13,0
45,71652,OWN,0.4,MEDICAL,F,27247,21.56,0.02,Y,3,0
48,80524,OWN,7.2,EDUCATION,A,23696,17.65,0.43,N,16,0
64,97936,RENT,6.7,EDUCATION,A,16120,8.37,0.21,Y,29,0
53,21470,MORTGAGE,3.1,MEDICAL,B,9533,8.18,0.11,N,10,0
42,82598,OTHER,0.6,DEBTCONSOLIDATION,B,31570,6.27,0.59,N,29,0
56,56798,MORTGAGE,0.1,DEBTCONSOLIDATION,D,12699,,0.03,N,17,0
30,68473,MORTGAGE,6.4,EDUCATION,A,13276,19.8,0.75,N,18,0
25,34880,RENT,3.7,DEBTCONSOLIDATION,F,23227,14.13,0.43,N,21,0
37,115117,OWN,5.0,HOMEIMPROVEMENT,B,3431,11.92,0.54,N,28,0
40,59439,RENT,1.4,HOMEIMPROVEMENT,B,15343,7.34,0.21,N,24,0
61,29308,MORTGAGE,2.8,MEDICAL,B,6199,6.32,0.15,Y,5,0
55,106563,OTHER,5.5,VENTURE,C,21724,12.51,0.2,Y,9,0
60,111256,OTHER,2.5,HOMEIMPROVEMENT,A,27821,7.18,0.19,N,8,0
57,50081,OTHER,3.7,DEBTCONSOLIDATION,A,8136,,0.72,N,7,0
53,90242,RENT,6.2,MEDICAL,D,2360,12.44,0.65,N,6,0
36,65383,OWN,1.0,HOMEIMPROVEMENT,A,15489,14.35,0.71,N,11,0
56,24837,RENT,0.3,PERSONAL,A,14301,8.72,0.61,N,4,0
44,119135,OTHER,3.0,MEDICAL,D,30898,17.59,0.53,N,25,0
57,67151,MORTGAGE,0.3,EDUCATION,A,5247,12.85,0.44,Y,21,0
31,51824,OWN,5.8,HOMEIMPROVEMENT,B,5738,7.04,0.22,N,25,0
42,48073,RENT,5.1,EDUCATION,A,3334,16.74,0.59,N,18,0
61,112624,RENT,8.5,MEDICAL,B,26730,11.75,0.11,N,17,0
41,108648,OWN,4.1,HOMEIMPROVEMENT,C,7616,6.33,0.42,N,12,0
40,41299,OWN,0.3,EDUCATION,A,3428,22.27,0.16,N,14,0
46,114993,MORTGAGE,1.2,VENTURE,E,28679,15.57,0.42,N,19,1
50,73861,OWN,6.6,VENTURE,E,22634,13.9,0.24,Y,15,1
25,45063,MORTGAGE,0.7,PERSONAL,A,34940,20.69,0.04,N,3,0
46,84453,OTHER,4.8,DEBTCONSOLIDATION,G,8690,22.07,0.42,N,13,0
59,83472,OTHER,6.1,MEDICAL,B,24328,9.32,0.15,N,23,0
53,117166,RENT,1.6,DEBTCONSOLIDATION,A,4850,19.82,0.13,N,22,0
31,29506,OTHER,1.6,DEBTCONSOLIDATION,A,34555,20.19,0.32,N,27,0
64,109341,OTHER,3.3,EDUCATION,B,16536,6.37,0.3,Y,11,0
26,94854,MORTGAGE,7.9,PERSONAL,C,29200,18.07,0.72,N,8,0
29,41026,RENT,1.0,MEDICAL,B,7110,6.52,0.47,Y,3,0
64,42672,OWN,11.3,VENTURE,D,29920,15.99,0.71,N,26,0
36,53417,RENT,3.7,DEBTCONSOLIDATION,D,25677,17.31,0.12,N,19,0
45,67413,OTHER,19.4,EDUCATION,B,28350,,0.3,Y,18,0
40,80066,OWN,0.4,DEBTCONSOLIDATION,D,11670,21.08,0.46,N,17,0
47,74213,RENT,0.5,HOMEIMPROVEMENT,F,27647,19.65,0.13,N,3,0
21,65971,RENT,7.0,VENTURE,A,25906,21.88,0.11,N,12,0
62,42281,RENT,8.0,DEBTCONSOLIDATION,B,1566,11.01,0.55,N,20,0
20,43091,RENT,2.4,HOMEIMPROVEMENT,B,5470,5.78,0.54,N,23,0
55,65494,MORTGAGE,5.0,HOMEIMPROVEMENT,B,23850,19.84,0.19,N,8,0
45,118864,RENT,8.1,EDUCATION,C,29735,9.37,0.19,N,28,0
48,33610,OTHER,0.2,EDUCATION,B,4614,,0.62,N,23,0
40,16079,OTHER,3.4,HOMEIMPROVEMENT,C,28654,19.95,0.1,Y,18,1
30,110386,MORTGAGE,,PERSONAL,C,29390,9.25,0.77,Y,16,0
59,61751,OWN,2.0,DEBTCONSOLIDATION,C,21745,10.95,0.78,N,10,0
30,101126,OWN,1.4,HOMEIMPROVEMENT,A,24726,13.22,0.72,N,13,0
55,70432,OTHER,6.4,HOMEIMPROVEMENT,B,13095,10.24,0.17,Y,9,0
58,45951,OTHER,1.6,EDUCATION,B,28218,13.61,0.01,Y,29,1
59,95863,MORTGAGE,0.0,DEBTCONSOLIDATION,B,25643,5.57,0.78,Y,3,0
54,93291,OWN,12.8,MEDICAL,E,6664,9.18,0.29,N,18,1
53,74872,OWN,3.6,VENTURE,B,33140,20.22,0.26,N,17,0
43,22235,RENT,6.8,EDUCATION,A,8287,12.76,0.22,N,24,0
41,97733,RENT,7.0,DEBTCONSOLIDATION,B,16424,16.73,0.2,N,17,0
24,77712,RENT,0.3,DEBTCONSOLIDATION,D,20949,9.53,0.61,N,4,0
52,36473,MORTGAGE,0.7,PERSONAL,D,581,16.97,0.75,N,20,0
55,82567,OTHER,1.5,VENTURE,C,3505,23.2,0.65,N,17,0
39,94823,MORTGAGE,1.5,EDUCATION,A,8908,16.0,0.56,Y,12,0
38,119215,OWN,4.3,EDUCATION,B,834,16.58,0.24,N,27,0
54,47230,OTHER,3.9,MEDICAL,C,11603,7.39,0.45,Y,10,0
62,99573,RENT,2.7,PERSONAL,G,25669,12.58,0.2,N,15,0
36,107588,MORTGAGE,0.9,PERSONAL,C,30994,20.72,0.09,N,3,0
64,83876,MORTGAGE,1.9,DEBTCONSOLIDATION,C,23952,20.25,0.1,N,14,0
62,55644,RENT,,DEBTCONSOLIDATION,B,26754,14.7,0.5,N,6,0
53,63664,MORTGAGE,2.5,EDUCATION,B,4397,21.48,0.03,Y,21,0
28,60203,RENT,0.5,MEDICAL,D,5148,7.94,0.81,N,15,0
45,81677,OWN,4.2,EDUCATION,B,10174,17.12,0.83,N,2,0
21,40425,OTHER,0.3,HOMEIMPROVEMENT,G,17666,9.83,0.12,N,7,0
28,99817,OWN,1.9,DEBTCONSOLIDATION,B,27210,16.89,0.35,N,23,0
28,100961,OWN,5.0,HOMEIMPROVEMENT,A,20470,6.96,0.64,N,12,0
59,115342,RENT,0.1,MEDICAL,C,4294,22.2,0.79,N,18,0
36,112649,MORTGAGE,3.4,EDUCATION,A,29684,19.4,0.74,N,24,0
20,84806,OWN,1.6,DEBTCONSOLIDATION,B,26059,8.98,0.21,N,23,0
44,57814,OWN,0.0,MEDICAL,B,15844,16.74,0.07,N,15,0
62,85219,OWN,0.8,EDUCATION,D,31717,18.91,0.24,N,15,0
59,64646,MORTGAGE,11.3,EDUCATION,B,5551,9.13,0.36,Y,21,1
61,54884,MORTGAGE,2.9,HOMEIMPROVEMENT,A,17626,7.06,0.3,N,8,0
44,110345,RENT,23.6,VENTURE,C,5044,11.66,0.64,N,20,1
58,115088,OWN,3.0,PERSONAL,B,13375,,0.21,N,27,1
54,84322,OTHER,3.1,DEBTCONSOLIDATION,E,4855,15.47,0.71,N,28,0
22,36650,MORTGAGE,2.0,PERSONAL,B,20492,12.95,0.19,N,23,0
56,109242,RENT,,MEDICAL,D,31574,13.63,0.3,Y,7,1
63,24190,OWN,,PERSONAL,A,3016,15.06,0.37,N,14,0
63,53196,OTHER,1.7,HOMEIMPROVEMENT,D,23122,22.88,0.24,N,11,0
49,54449,MORTGAGE,2.5,VENTURE,D,1979,19.51,0.64,N,23,0
57,54661,OTHER,0.9,DEBTCONSOLIDATION,E,17838,16.6,0.34,N,20,0
53,44709,MORTGAGE,1.0,EDUCATION,A,27507,11.87,0.74,N,11,0
31,95428,RENT,1.3,EDUCATION,B,22336,5.88,0.8,Y,6,0
38,90179,OTHER,2.4,HOMEIMPROVEMENT,C,29746,7.47,0.71,N,14,0
56,24943,OWN,4.2,DEBTCONSOLIDATION,A,3047,18.41,0.43,Y,18,0
63,58240,OWN,7.8,PERSONAL,B,28630,11.97,0.42,N,23,0
36,60760,MORTGAGE,1.4,EDUCATION,F,959,11.35,0.18,Y,24,0
29,36042,OWN,0.8,PERSONAL,B,2736,21.22,0.49,N,6,0
31,58894,OTHER,1.9,HOMEIMPROVEMENT,G,21330,14.02,0.79,N,22,1
35,21869,RENT,9.0,EDUCATION,A,1080,21.41,0.07,N,23,0
43,76078,MORTGAGE,0.0,MEDICAL,D,14939,21.18,0.62,Y,8,0
38,71759,OTHER,4.5,VENTURE,C,5215,6.83,0.72,N,21,0
27,59306,MORTGAGE,2.6,PERSONAL,C,26607,22.23,0.82,N,8,1
50,70371,RENT,0.7,DEBTCONSOLIDATION,F,26444,6.77,0.28,N,16,0
40,35918,MORTGAGE,1.5,PERSONAL,A,32264,22.55,0.3,N,16,0
36,43379,OWN,1.0,PERSONAL,E,28067,13.46,0.19,N,22,0
42,105810,OWN,8.4,PERSONAL,C,32925,18.94,0.65,N,24,0
56,98232,MORTGAGE,2.6,HOMEIMPROVEMENT,B,17742,17.97,0.12,N,2,0
35,17962,RENT,3.3,HOMEIMPROVEMENT,E,19324,14.63,0.22,N,27,0
25,28851,RENT,3.6,DEBTCONSOLIDATION,B,12398,16.43,0.25,N,13,0
27,60747,OWN,4.1,HOMEIMPROVEMENT,D,34980,22.31,0.31,N,3,0
44,67349,RENT,2.7,DEBTCONSOLIDATION,B,18259,21.91,0.35,N,19,0
37,85832,MORTGAGE,0.1,DEBTCONSOLIDATION,E,23568,17.05,0.46,N,16,0
44,71356,OTHER,1.6,HOMEIMPROVEMENT,C,4169,17.11,0.79,Y,8,0
31,29745,MORTGAGE,0.8,EDUCATION,A,14882,9.8,0.21,N,10,0
34,20730,OWN,4.6,HOMEIMPROVEMENT,C,15936,20.15,0.65,N,24,0
45,28921,OWN,0.2,EDUCATION,A,19274,16.66,0.56,N,29,0
